the_geom,cartodb_id,address,latitude,longitude,neighborhood
0101000020E610000034F8FBC56C4153C0A4AA09A2EE734340,126,Convention Center / 7th & M St NW,38.90572,-77.022264,Logan Circle/Shaw
0101000020E6100000CB49287D214153C035B39602D2744340,127,New Jersey Ave & R St NW,38.912659,-77.017669,Logan Circle/Shaw
0101000020E6100000AAB8718BF94053C03FC1C58A1A744340,128,New Jersey Ave & N St NW/Dunbar HS,38.90706,-77.015231,Logan Circle/Shaw
0101000020E6100000AE47E17A144253C024B9FC87F4734340,129,Thomas Circle,38.9059,-77.0325,Logan Circle/Shaw
0101000020E6100000581CCEFC6A4153C00BB8E7F9D3744340,130,7th & R St NW / Shaw Library,38.912719,-77.022155,Logan Circle/Shaw
0101000020E610000029CB10C7BA4153C01DAED51EF6744340,131,11th & S St NW,38.913761,-77.027025,Logan Circle/Shaw
0101000020E610000056EF703B344253C0FF21FDF675744340,132,15th & P St NW,38.90985,-77.034438,Logan Circle/Shaw
0101000020E6100000E5B9BE0F074253C0EDD286C3D2744340,133,14th & R St NW,38.912682,-77.031681,Logan Circle/Shaw
0101000020E61000004BEA0434114253C0A3923A014D744340,134,14th & Rhode Island Ave NW,38.9086,-77.0323,Logan Circle/Shaw
0101000020E6100000B6679604A84453C06D533C2EAA774340,135,Wisconsin Ave & Newark St NW,38.934881,-77.072755,McLean Gardens
0101000020E61000009D64ABCB294353C0D4D17135B2714340,136,Lincoln Memorial,38.888251,-77.049426,Monumental Core
0101000020E610000092088D60E34253C08081204086724340,137,20th St & Virginia Ave NW,38.894722,-77.045128,Monumental Core
0101000020E6100000C286A757CA4253C08AB0E1E995724340,138,19th & E Street NW,38.8952,-77.0436,Monumental Core
0101000020E610000056116E32AA4153C0C634D3BD4E724340,139,10th St & Constitution Ave NW,38.893028,-77.026013,Monumental Core
0101000020E6100000D93F4F03064253C036E84B6F7F724340,140,14th & D St NW / Ronald Reagan Building,38.894514,-77.031617,Monumental Core
0101000020E6100000C286A757CA4253C0431CEBE236724340,141,19th St & Constitution Ave NW,38.8923,-77.0436,Monumental Core
0101000020E610000062BEBC00FB4253C0A9DE1AD82A714340,142,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.88412,-77.04657,Monumental Core
0101000020E61000003C31EBC5504053C0FBE8D495CF724340,143,Columbus Circle / Union Station,38.89696,-77.00493,Monumental Core
0101000020E6100000A98427F4FA4253C0AB02B5183C724340,144,21st St & Constitution Ave NW,38.892459,-77.046567,Monumental Core
0101000020E6100000489C1551134253C0A0E1CD1ABC714340,145,Jefferson Dr & 14th St SW,38.888553,-77.032429,Monumental Core
0101000020E610000076543541D44153C0CC61F71DC3714340,146,Smithsonian / Jefferson Dr & 12th St SW,38.888767,-77.02858,Monumental Core
0101000020E61000007FDC7EF9644253C020B3B3E89D704340,147,Jefferson Memorial,38.879819,-77.037413,Monumental Core
0101000020E6100000EB56CF49EF4153C0145D177E70704340,148,Hains Point/Buckeye & Ohio Dr SW,38.878433,-77.03023,Monumental Core
